date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-10-14,0.32,0.33,0.33,0.32,1.99K,-1.63%
2018-10-13,0.33,0.32,0.33,0.31,4.22K,3.04%
2018-10-12,0.32,0.29,0.32,0.29,2.42K,7.13%
2018-10-11,0.29,0.36,0.36,0.29,3.28K,-18.66%
2018-10-10,0.36,0.35,0.36,0.34,4.45K,4.68%
2018-10-09,0.35,0.34,0.35,0.33,0.67K,2.61%
2018-10-08,0.34,0.33,0.35,0.33,1.03K,0.00%
2018-10-07,0.33,0.34,0.36,0.31,8.18K,0.00%
2018-10-06,0.34,0.35,0.38,0.33,22.17K,-3.06%
2018-10-05,0.35,0.32,0.37,0.32,8.08K,9.57%
2018-10-04,0.32,0.31,0.32,0.31,0.23K,1.79%
2018-10-03,0.31,0.32,0.34,0.31,0.48K,-1.91%
2018-10-02,0.32,0.33,0.34,0.32,1.26K,-2.62%
2018-10-01,0.33,0.32,0.34,0.32,0.70K,2.69%
2018-09-30,0.32,0.35,0.35,0.32,0.60K,-7.53%
2018-09-29,0.35,0.34,0.35,0.32,2.21K,2.16%
2018-09-28,0.34,0.35,0.35,0.32,4.23K,-3.26%
2018-09-27,0.35,0.34,0.35,0.33,6.30K,2.22%
2018-09-26,0.34,0.35,0.37,0.31,85.62K,-2.01%
